,collectionName,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,total_volume,total_sales,total_supply,num_owners,average_price,market_cap,floor_price
809,glicpixxxver002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,56.85436962959563,509.0,5321.0,1041.0,0.11169817216030575,0.0,0.0
810,gameofblocks,0.2834,0.0,3.0,0.09446666666666666,0.6284000000000001,0.42818181818181833,6.0,0.10473333333333334,267.6783157779234,1259.0,2769.0,1227.0,0.21261184732162303,290.00660000000005,0.0
811,lysergiclabsacidheadz,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.7372814939025485,227.0,2690.0,827.0,0.02967965415816101,0.0,0.0
812,mypethooligan,7.9068,-0.289844528871285,8.0,0.98835,115.42039999999994,0.13077047800029168,122.0,0.946068852459016,14642.626741840204,16900.0,8888.0,4790.0,0.8664276178603671,8408.659960655734,0.0
813,xoids,0.0,-1.0,0.0,0.0,2.6979999999999995,-0.4676400947119181,13.0,0.2075384615384615,687.2862679063568,2189.0,4444.0,1307.0,0.313972712611401,922.3009230769229,0.0
814,cybergoats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.434376000000002,115.0,1078.0,384.0,0.08203805217391306,0.0,0.0
815,pjpp,1.08,-0.3287756370416407,3.0,0.36000000000000004,20.1979,0.058548537138215145,30.0,0.6732633333333333,1950.8405893654515,3122.0,5267.0,2282.0,0.6248688627051414,3546.077976666667,0.0
816,doodlerooms,0.038,-0.22131147540983603,1.0,0.038,0.23080000000000003,-0.9070217137332313,9.0,0.02564444444444445,236.92831253092584,6378.0,9998.0,2135.0,0.03714774420365723,256.3931555555556,0.0
817,jbac,0.03,0.0,1.0,0.03,0.038,-0.09307875894988069,3.0,0.012666666666666666,160.27781002397086,3854.0,8989.0,3626.0,0.04158739232588761,113.86066666666666,0.0
818,fivepenguins,0.0,-1.0,0.0,0.0,0.031,-0.9528158295281582,2.0,0.0155,89.08262321599037,1526.0,3125.0,1209.0,0.05837655518741178,48.4375,0.0
819,heartbreak_bear_official,0.0633,0.0,2.0,0.03165,0.1988,-0.1431034482758621,6.0,0.033133333333333334,54.12468688999893,811.0,1888.0,469.0,0.0667382082490739,62.555733333333336,0.0
820,suburbancolors_collection,0.019,0.0,1.0,0.019,0.019,0.0,1.0,0.019,7.183799999999994,188.0,1024.0,382.0,0.03821170212765954,19.456,0.0
821,collectvoxthewalkingdead,5.806989999999999,0.08683869204811473,10.0,0.5806989999999999,32.49528112,-0.40000483544466336,51.0,0.6371623749019608,2572.31667187086,3159.0,7523.0,3471.0,0.8142819474108451,4793.372546387452,0.0
822,collectvoxmirandus,3.73,0.3269133966670639,4.0,0.9325,23.432385,-0.6229916453605421,23.0,1.018799347826087,16743.187182948466,5157.0,8431.0,3639.0,3.246691328863383,8589.497301521738,0.0
823,demihuman,0.158,-0.5548041701887856,3.0,0.05266666666666667,1.5739000000000003,-0.5113477599428732,18.0,0.0874388888888889,950.7631728325152,3676.0,10001.0,4056.0,0.2586406890186385,874.4763277777779,0.0
824,cryppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.643448999999999,108.0,2375.0,496.0,0.08929119444444443,0.0,0.0
825,shopverse,0.0,-1.0,0.0,0.0,1.4841,-0.5512246749319626,12.0,0.123675,101.80582355564216,865.0,2800.0,1782.0,0.11769459370594469,346.29,0.0
826,lucky_ducky_nft,0.1874,0.1399026763990269,6.0,0.031233333333333335,0.9985000000000003,-0.4276756236243578,36.0,0.027736111111111118,453.7161229883274,6721.0,7777.0,3006.0,0.0675072344871786,215.70373611111117,0.0
827,richsimmonsreflections,0.19490000000000002,-0.12600896860986552,5.0,0.03898,1.0606000000000004,-0.20838931183758758,27.0,0.039281481481481494,335.1089325012374,2711.0,3333.0,1755.0,0.1236108198086453,130.92517777777783,0.0
828,starkade_legion,0.063,-0.7636909227306827,2.0,0.0315,1.1002333000000002,-0.14013371993059984,34.0,0.03235980294117648,1373.161923526062,6170.0,7015.0,1912.0,0.22255460673031802,227.00401763235297,0.0
829,fishyfam,0.9992000000000001,0.26644528378412663,12.0,0.08326666666666667,9.353479900000004,0.0896015651621056,106.0,0.08824037641509437,8458.027767880976,17441.0,9999.0,5623.0,0.4849508496004229,882.3155237745286,0.0
830,lucky_zeros_purebase,1.27,-0.4647222456376971,5.0,0.254,5.739499999999999,-0.3942863776436322,31.0,0.18514516129032255,1898.6074295575527,5754.0,3333.0,1330.0,0.32996305692692957,617.088822580645,0.0
831,mekaapeclubofficial,0.385,0.0,6.0,0.06416666666666666,0.821,-0.47100515463917536,12.0,0.06841666666666667,1558.2084152722305,6728.0,5640.0,2204.0,0.23160053734723995,385.87,0.0
